Insight Version,1.0.5.2,,,,,,
Generation Time,12/7/2022 18:23,,,,,,
Date From,12/7/2022 10:28,,,,,,
Date To,12/7/2022 18:23,,,,,,
,,,,,,,
GMP251,U3730359,1.3.4,,,,,
,,,,,,,
GMP251,U3930116,1.3.4,,,,,
,,,,,,,
Timestamp,GMP251 U3730359 - Carbon dioxide concentration (%),GMP251 U3930116 - Carbon dioxide concentration (%),,,,,
12/7/2022 10:49,13.83174,8.666827,,,,,
12/7/2022 10:49,13.828833,8.667212,,,,,
12/7/2022 10:49,13.828833,8.666124,,,,,
12/7/2022 10:49,13.817781,8.663189,,,,,
12/7/2022 10:49,13.809747,8.657139,,,,,
12/7/2022 10:49,13.802419,8.643668,,,,,
12/7/2022 10:49,13.798833,8.642899,,,,,
12/7/2022 10:49,13.792119,8.63888,,,,,
12/7/2022 10:50,13.785503,8.626152,,,,,
12/7/2022 10:50,13.772872,8.619889,,,,,
12/7/2022 10:50,13.765931,8.613304,,,,,
12/7/2022 10:50,13.744528,8.588218,,,,,
12/7/2022 10:50,13.729727,8.58025,,,,,
12/7/2022 10:50,13.722884,8.567634,,,,,
12/7/2022 10:50,13.712338,8.554926,,,,,
12/7/2022 10:50,13.699419,8.554926,,,,,
12/7/2022 10:50,13.695138,8.550081,,,,,
12/7/2022 10:50,13.687536,8.550081,,,,,
12/7/2022 10:50,13.672953,8.518527,,,,,
12/7/2022 10:50,13.669575,8.497176,,,,,
12/7/2022 10:51,13.662961,8.497193,,,,,
12/7/2022 10:51,13.659712,8.495741,,,,,
12/7/2022 10:51,13.65654,8.494267,,,,,
12/7/2022 10:51,13.656502,8.492483,,,,,
12/7/2022 10:51,13.654975,8.491123,,,,,
12/7/2022 10:51,13.654364,8.490359,,,,,
12/7/2022 10:51,13.647797,8.489767,,,,,
12/7/2022 10:51,13.643119,8.478127,,,,,
12/7/2022 10:51,13.642764,8.465386,,,,,
12/7/2022 10:51,13.636419,8.462463,,,,,
12/7/2022 10:51,13.633977,8.45711,,,,,
12/7/2022 10:51,13.632308,8.450951,,,,,
12/7/2022 10:52,13.63266,8.442196,,,,,
12/7/2022 10:52,13.632412,8.437825,,,,,
12/7/2022 10:52,13.632842,8.432961,,,,,
12/7/2022 10:52,13.63334,8.428894,,,,,
12/7/2022 10:52,13.633158,8.421733,,,,,
12/7/2022 10:52,13.632884,8.414448,,,,,
12/7/2022 10:52,13.628503,8.410702,,,,,
12/7/2022 10:52,13.620281,8.408053,,,,,
12/7/2022 10:52,13.615288,8.397617,,,,,
12/7/2022 10:52,13.608916,8.379217,,,,,
12/7/2022 10:52,13.603303,8.368082,,,,,
12/7/2022 10:52,13.603192,8.353099,,,,,
12/7/2022 10:53,13.603338,8.345228,,,,,
12/7/2022 10:53,13.603003,8.33696,,,,,
12/7/2022 10:53,13.600175,8.333022,,,,,
12/7/2022 10:53,13.59754,8.328959,,,,,
12/7/2022 10:53,13.596222,8.326434,,,,,
12/7/2022 10:53,13.597683,8.324254,,,,,
12/7/2022 10:53,13.599677,8.319712,,,,,
12/7/2022 10:53,13.602806,8.320318,,,,,
12/7/2022 10:53,13.603508,8.322309,,,,,
12/7/2022 10:53,13.602934,8.309838,,,,,
12/7/2022 10:53,13.594562,8.302109,,,,,
12/7/2022 10:53,13.567328,8.297323,,,,,
12/7/2022 10:54,13.562766,8.286238,,,,,
12/7/2022 10:54,13.559258,8.283768,,,,,
12/7/2022 10:54,13.557025,8.282582,,,,,
12/7/2022 10:54,13.551486,8.273839,,,,,
12/7/2022 10:54,13.546234,8.268106,,,,,
12/7/2022 10:54,13.535325,8.27092,,,,,
12/7/2022 10:54,13.534397,8.270903,,,,,
12/7/2022 10:54,13.517547,8.267263,,,,,
12/7/2022 10:54,13.493523,8.263523,,,,,
12/7/2022 10:54,13.46754,8.256548,,,,,
12/7/2022 10:54,13.464586,8.236479,,,,,
12/7/2022 10:54,13.461828,8.228341,,,,,
12/7/2022 10:55,13.461544,8.222952,,,,,
12/7/2022 10:55,13.460397,8.213684,,,,,
12/7/2022 10:55,13.448053,8.205238,,,,,
