Insight Version,1.0.5.2,,,,
Generation Time,11/25/2022 16:05,,,,
Date From,11/25/2022 9:00,,,,
Date To,11/25/2022 16:05,,,,
,,,,,
GMP251,U3730359,1.3.4,,,
,,,,,
GMP251,U3930116,1.3.4,,,
,,,,,
Timestamp,GMP251 U3730359 - Carbon dioxide concentration (%),GMP251 U3930116 - Carbon dioxide concentration (%),,,
11/25/2022 9:38,15.179452,12.068964,,,
11/25/2022 9:38,15.174788,12.07488,,,
11/25/2022 9:38,15.168964,12.076537,,,
11/25/2022 9:38,15.16805,12.076337,,,
11/25/2022 9:38,15.16987,12.074191,,,
11/25/2022 9:38,15.173147,12.071617,,,
11/25/2022 9:38,15.173425,12.071098,,,
11/25/2022 9:38,15.174638,12.072403,,,
11/25/2022 9:38,15.196461,12.081191,,,
11/25/2022 9:39,15.201384,12.088449,,,
11/25/2022 9:39,15.203572,12.090121,,,
11/25/2022 9:39,15.203784,12.087238,,,
11/25/2022 9:39,15.203706,12.087461,,,
11/25/2022 9:39,15.189786,12.090972,,,
11/25/2022 9:39,15.163573,12.093952,,,
11/25/2022 9:39,15.140478,12.096563,,,
11/25/2022 9:39,15.139911,12.109704,,,
11/25/2022 9:39,15.139484,12.122871,,,
11/25/2022 9:39,15.138328,12.130719,,,
11/25/2022 9:39,15.137108,12.130835,,,
11/25/2022 9:39,15.128225,12.130702,,,
11/25/2022 9:40,15.11854,12.130621,,,
11/25/2022 9:40,15.116772,12.130352,,,
11/25/2022 9:40,15.114734,12.130352,,,
11/25/2022 9:40,15.115325,12.129687,,,
11/25/2022 9:40,15.113322,12.129633,,,
11/25/2022 9:40,15.097311,12.130806,,,
11/25/2022 9:40,15.089619,12.148306,,,
11/25/2022 9:40,15.090406,12.156229,,,
11/25/2022 9:40,15.091208,12.1642,,,
11/25/2022 9:40,15.092427,12.16637,,,
11/25/2022 9:40,15.096766,12.161824,,,
11/25/2022 9:40,15.119084,12.152264,,,
11/25/2022 9:41,15.133344,12.147235,,,
11/25/2022 9:41,15.147512,12.148927,,,
11/25/2022 9:41,15.14524,12.155927,,,
11/25/2022 9:41,15.130056,12.16453,,,
11/25/2022 9:41,15.127269,12.178429,,,
11/25/2022 9:41,15.121333,12.187573,,,
11/25/2022 9:41,15.114372,12.188179,,,
11/25/2022 9:41,15.113162,12.188338,,,
11/25/2022 9:41,15.111372,12.187695,,,
11/25/2022 9:41,15.104303,12.183031,,,
11/25/2022 9:41,15.101778,12.182585,,,
11/25/2022 9:41,15.102583,12.182747,,,
11/25/2022 9:42,15.111631,12.182595,,,
11/25/2022 9:42,15.117556,12.182394,,,
11/25/2022 9:42,15.12006,12.181404,,,
11/25/2022 9:42,15.116944,12.167314,,,
11/25/2022 9:42,15.108953,12.1608,,,
11/25/2022 9:42,15.10863,12.155014,,,
11/25/2022 9:42,15.110558,12.145632,,,
11/25/2022 9:42,15.118419,12.137689,,,
11/25/2022 9:42,15.134284,12.136516,,,
11/25/2022 9:42,15.133588,12.135003,,,
11/25/2022 9:42,15.133645,12.133748,,,
11/25/2022 9:42,15.133716,12.130698,,,
11/25/2022 9:43,15.135069,12.127304,,,
11/25/2022 9:43,15.143228,12.124947,,,
11/25/2022 9:43,15.150184,12.117727,,,
11/25/2022 9:43,15.1505,12.105717,,,
11/25/2022 9:43,15.146552,12.08789,,,
11/25/2022 9:43,15.139114,12.082801,,,
11/25/2022 9:43,15.141506,12.075545,,,
11/25/2022 9:43,15.165044,12.071675,,,
11/25/2022 9:43,15.173856,12.072687,,,
11/25/2022 9:43,15.173303,12.070129,,,
11/25/2022 9:43,15.145681,12.063405,,,
11/25/2022 9:43,15.140308,12.061897,,,
11/25/2022 9:44,15.140178,12.061912,,,
11/25/2022 9:44,15.138112,12.060655,,,
11/25/2022 9:44,15.143723,12.059013,,,
11/25/2022 9:44,15.145725,12.059045,,,
11/25/2022 9:44,15.1421,12.05898,,,
11/25/2022 9:44,15.130589,12.05745,,,
11/25/2022 9:44,15.137294,12.054694,,,
11/25/2022 9:44,15.144827,12.053935,,,
11/25/2022 9:44,15.15355,12.05554,,,
11/25/2022 9:44,15.154139,12.059398,,,
11/25/2022 9:44,15.150878,12.057945,,,
11/25/2022 9:44,15.144038,12.052028,,,
11/25/2022 9:45,15.140203,12.051503,,,
11/25/2022 9:45,15.141425,12.051326,,,
11/25/2022 9:45,15.142725,12.049295,,,
