Group 2,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8
Date,Time,Status,Current,Press,Mfm2,Refelec,VoltSup,
,,,Instantaneous value,Instantaneous value,Average,Instantaneous value,Instantaneous value,
,,,A,Bar,Ln/min,V,V,
07.12.2022,06:56:59,OK,0.01,-0.008,0,0,0.13,
07.12.2022,06:57:00,OK,0.01,-0.008,0,0,0.13,
07.12.2022,06:57:01,OK,0.01,-0.009,0,0,0.14,
07.12.2022,06:57:02,OK,0.01,-0.009,0,0,0.13,
07.12.2022,06:57:03,OK,0.01,-0.009,0,0,0.14,
07.12.2022,06:57:04,OK,0.01,-0.009,0,0,0.13,
07.12.2022,06:57:05,OK,0.01,-0.009,0,0,0.13,
07.12.2022,06:57:06,OK,0.01,-0.009,0,0,0.13,
07.12.2022,06:57:07,OK,0.01,-0.009,0,0,0.14,
07.12.2022,06:57:08,OK,0.01,-0.009,0,0,0.14,
07.12.2022,06:57:09,OK,0.01,-0.009,0,0,0.14,
07.12.2022,06:57:10,OK,0.01,-0.008,0,0,0.14,
07.12.2022,06:57:11,OK,0.01,-0.009,0,0,0.14,
07.12.2022,06:57:12,OK,0.01,-0.009,0,0,0.13,
07.12.2022,06:57:13,OK,0.01,-0.009,0,0,0.14,
07.12.2022,06:57:14,OK,0.01,-0.009,0,0,0.13,
07.12.2022,06:57:15,OK,0.01,-0.009,0,0,0.13,
07.12.2022,06:57:16,OK,0.01,-0.009,0,0,0.14,
07.12.2022,06:57:17,OK,0.01,-0.008,0,0,0.14,
07.12.2022,06:57:18,OK,0.01,-0.009,0,0,0.13,
07.12.2022,06:57:19,OK,0.01,-0.009,0,0,0.14,
07.12.2022,06:57:20,OK,0.01,-0.009,0,0,0.13,
07.12.2022,06:57:21,OK,0.01,-0.009,0,0,0.14,
07.12.2022,06:57:22,OK,0.01,-0.009,0,0,0.14,
07.12.2022,06:57:23,OK,0.01,-0.009,0,0,0.13,
07.12.2022,06:57:24,OK,0.01,-0.009,0,0,0.13,
07.12.2022,06:57:25,OK,0.01,-0.009,0,0,0.14,
07.12.2022,06:57:26,OK,0.01,-0.009,0,0,0.14,
07.12.2022,06:57:27,OK,0.01,-0.009,0,0,0.13,
07.12.2022,06:57:28,OK,0.01,-0.009,0,0,0.13,
07.12.2022,06:57:29,OK,0.01,-0.009,0,0,0.14,
07.12.2022,06:57:30,OK,0.01,-0.009,0,0,0.14,
07.12.2022,06:57:31,OK,0.01,-0.009,0,0,0.13,
07.12.2022,06:57:32,OK,0.01,-0.008,0,0,0.14,
07.12.2022,06:57:33,OK,0.01,-0.008,0,0,0.13,
07.12.2022,06:57:34,OK,0.01,-0.008,0,0,0.14,
07.12.2022,06:57:35,OK,0.01,-0.009,0,0,0.13,
07.12.2022,06:57:36,OK,0.01,-0.009,0,0,0.14,
07.12.2022,06:57:37,OK,0.01,-0.008,0,0,0.13,
07.12.2022,06:57:38,OK,0.01,-0.009,0,0,0.13,
07.12.2022,06:57:39,OK,0.01,-0.009,0,0,0.14,
07.12.2022,06:57:40,OK,0.01,-0.008,0,0,0.14,
07.12.2022,06:57:41,OK,0.01,-0.008,0,0,0.13,
07.12.2022,06:57:42,OK,0.01,-0.008,0,0,0.14,
07.12.2022,06:57:43,OK,0.01,-0.008,0,0,0.14,
07.12.2022,06:57:44,OK,0.01,-0.008,0,0,0.13,
07.12.2022,06:57:45,OK,0.01,-0.008,0,0,0.14,
07.12.2022,06:57:46,OK,0.01,-0.008,0,0,0.14,
07.12.2022,06:57:47,OK,0.01,-0.008,0,0,0.13,
07.12.2022,06:57:48,OK,0.01,-0.008,0,0,0.14,
07.12.2022,06:57:49,OK,0.01,-0.009,0,0,0.14,
07.12.2022,06:57:50,OK,0.01,-0.009,0,0,0.13,
07.12.2022,06:57:51,OK,0.01,-0.009,0,0,0.14,
07.12.2022,06:57:52,OK,0.01,-0.009,0,0,0.14,
07.12.2022,06:57:53,OK,0.01,-0.009,0,0,0.13,
07.12.2022,06:57:54,OK,0.01,-0.009,0,0,0.13,
07.12.2022,06:57:55,OK,0.01,-0.009,0,0,0.13,
07.12.2022,06:57:56,OK,0.01,-0.009,0,0,0.13,
07.12.2022,06:57:57,OK,0.01,-0.009,0,0,0.14,
07.12.2022,06:57:58,OK,0.01,-0.009,0,0,0.13,
07.12.2022,06:57:59,OK,0.01,-0.008,0,0,0.14,
07.12.2022,06:58:00,OK,0.01,-0.008,0,0,0.13,
07.12.2022,06:58:01,OK,0.01,-0.009,0,0,0.13,
07.12.2022,06:58:02,OK,0.01,-0.009,0,0,0.14,
07.12.2022,06:58:03,OK,0.01,-0.009,0,0,0.14,
07.12.2022,06:58:04,OK,0.01,-0.009,0,0,0.13,
07.12.2022,06:58:05,OK,0.01,-0.009,0,0,0.14,
07.12.2022,06:58:06,OK,0.01,-0.009,0,0,0.13,
07.12.2022,06:58:07,OK,0.01,-0.008,0,0,0.14,
07.12.2022,06:58:08,OK,0.01,-0.009,0,0,0.14,
07.12.2022,06:58:09,OK,0.01,-0.009,0,0,0.13,
07.12.2022,06:58:10,OK,0.01,-0.009,0,0,0.13,
07.12.2022,06:58:11,OK,0.01,-0.009,0,0,0.13,
07.12.2022,06:58:12,OK,0.01,-0.009,0,0,0.13,
07.12.2022,06:58:13,OK,0.01,-0.008,0,0,0.13,
07.12.2022,06:58:14,OK,0.01,-0.009,0,0,0.13,
07.12.2022,06:58:15,OK,0.01,-0.008,0,0,0.13,
07.12.2022,06:58:16,OK,0.01,-0.008,0,0,0.14,
07.12.2022,06:58:17,OK,0.01,-0.009,0,0,0.13,
07.12.2022,06:58:18,OK,0.01,-0.009,0,0,0.14,
07.12.2022,06:58:19,OK,0.01,-0.009,0,0,0.12,
07.12.2022,06:58:20,OK,0.01,-0.009,0,0,0.13,
07.12.2022,06:58:21,OK,0.01,-0.009,0,0,0.13,
07.12.2022,06:58:22,OK,0.01,-0.009,0,0,0.13,
07.12.2022,06:58:23,OK,0.01,-0.009,0,0,0.13,
07.12.2022,06:58:24,OK,0.01,-0.008,0,0,0.13,
07.12.2022,06:58:25,OK,0.01,-0.009,0,0,0.13,
07.12.2022,06:58:26,OK,0.01,-0.009,0,0,0.13,
07.12.2022,06:58:27,OK,0.01,-0.009,0,0,0.14,
07.12.2022,06:58:28,OK,0.01,-0.009,0,0,0.14,
07.12.2022,06:58:29,OK,0.01,-0.009,0,0,0.13,
07.12.2022,06:58:30,OK,0.01,-0.009,0,0,0.14,
07.12.2022,06:58:31,OK,0.01,-0.008,0,0,0.13,
07.12.2022,06:58:32,OK,0.01,-0.009,0,0,0.14,
07.12.2022,06:58:33,OK,0.01,-0.009,0,0,0.13,
07.12.2022,06:58:34,OK,0.01,-0.009,0,0,0.13,
07.12.2022,06:58:35,OK,0.01,-0.009,0,0,0.13,
07.12.2022,06:58:36,OK,0.01,-0.009,0,0,0.13,
07.12.2022,06:58:37,OK,0.01,-0.009,0,0,0.13,
07.12.2022,06:58:38,OK,0.01,-0.009,0,0,0.14,
07.12.2022,06:58:39,OK,0.01,-0.009,0,0,0.14,
07.12.2022,06:58:40,OK,0.01,-0.008,0,0,0.13,
07.12.2022,06:58:41,OK,0.01,-0.009,0,0,0.14,
07.12.2022,06:58:42,OK,0.01,-0.009,0,0,0.14,
07.12.2022,06:58:43,OK,0.01,-0.009,0,0,0.13,
07.12.2022,06:58:44,OK,0.01,-0.009,0,0,0.13,
07.12.2022,06:58:45,OK,0.01,-0.009,0,0,0.13,
07.12.2022,06:58:46,OK,0.01,-0.009,0,0,0.13,
07.12.2022,06:58:47,OK,0.01,-0.008,0,0,0.14,
07.12.2022,06:58:48,OK,0.01,-0.009,0,0,0.13,
07.12.2022,06:58:49,OK,0.01,-0.009,0,0,0.13,
07.12.2022,06:58:50,OK,0.01,-0.008,0,0,0.13,
07.12.2022,06:58:51,OK,0.01,-0.008,0,0,0.14,
07.12.2022,06:58:52,OK,0.01,-0.008,0,0,0.14,
07.12.2022,06:58:53,OK,0.01,-0.008,0,0,0.13,
07.12.2022,06:58:54,OK,0.01,-0.008,0,0,0.13,
07.12.2022,06:58:55,OK,0.01,-0.008,0,0,0.14,
07.12.2022,06:58:56,OK,0.01,-0.008,0,0,0.13,
07.12.2022,06:58:57,OK,0.01,-0.009,0,0,0.13,
07.12.2022,06:58:58,OK,0.01,-0.009,0,0,0.14,
07.12.2022,06:58:59,OK,0.01,-0.008,0,0,0.13,
07.12.2022,06:59:00,OK,0.01,-0.008,0,0,0.13,
07.12.2022,06:59:01,OK,0.01,-0.009,0,0,0.14,
07.12.2022,06:59:02,OK,0.01,-0.008,0,0,0.13,
07.12.2022,06:59:03,OK,0.01,-0.008,0,0,0.14,
07.12.2022,06:59:04,OK,0.01,-0.009,0,0,0.13,
