Timestamp,Current (A),Gas_Flow_Rate (m3/h),CO2_in (%),CO2_out (%)
0:04:08,4.5,0.5,15.172111,11.781203
0:04:09,4.5,0.5,15.172475,11.779813
0:04:10,4.5,0.5,15.172456,11.776861
0:04:11,4.5,0.5,15.174905,11.77283
0:04:12,4.5,0.5,15.173684,11.772802
0:04:13,4.5,0.5,15.160656,11.772916
0:04:14,4.5,0.5,15.15614,11.773599
0:04:15,4.5,0.5,15.153975,11.778528
0:04:16,4.5,0.5,15.153286,11.793161
0:04:17,4.5,0.5,15.15749,11.797136
0:04:18,4.5,0.5,15.160528,11.796557
0:04:19,4.5,0.5,15.163038,11.793773
0:04:20,4.5,0.5,15.165206,11.793034
0:04:21,4.5,0.5,15.17181,11.793075
0:04:22,4.5,0.5,15.172294,11.792248
0:04:23,4.5,0.5,15.170625,11.79103
0:04:24,4.5,0.5,15.165625,11.785991
0:04:25,4.5,0.5,15.166603,11.783263
0:04:26,4.5,0.5,15.171388,11.778051
0:04:27,4.5,0.5,15.171434,11.775757
0:04:28,4.5,0.5,15.172505,11.777391
0:04:29,4.5,0.5,15.174442,11.777929
0:04:30,4.5,0.5,15.176719,11.777391
0:04:31,4.5,0.5,15.183378,11.773032
0:04:32,4.5,0.5,15.194031,11.772538
0:04:33,4.5,0.5,15.202519,11.772509
0:04:34,4.5,0.5,15.208739,11.775328
0:04:35,4.5,0.5,15.209378,11.778404
0:04:36,4.5,0.5,15.20962,11.778544
0:04:37,4.5,0.5,15.201922,11.778141
0:04:38,4.5,0.5,15.186133,11.770243
0:04:39,4.5,0.5,15.186469,11.74982
0:04:40,4.5,0.5,15.189872,11.753066
0:04:41,4.5,0.5,15.196728,11.760331
0:04:42,4.5,0.5,15.202519,11.763602
0:04:43,4.5,0.5,15.218119,11.765101
0:04:44,4.5,0.5,15.225084,11.764997
0:04:45,4.5,0.5,15.247136,11.763294
0:04:46,4.5,0.5,15.2675,11.764395
0:04:47,4.5,0.5,15.279075,11.765694
0:04:48,4.5,0.5,15.280689,11.767433
0:04:49,4.5,0.5,15.281514,11.771666
0:04:50,4.5,0.5,15.282634,11.784356
0:04:51,4.5,0.5,15.282867,11.783649
0:04:52,4.5,0.5,15.283469,11.781001
0:04:53,4.5,0.5,15.285494,11.782281
0:04:54,4.5,0.5,15.277619,11.785234
0:04:55,4.5,0.5,15.275128,11.787781
0:04:56,4.5,0.5,15.266803,11.789974
0:04:57,4.5,0.5,15.261853,11.806101
0:04:58,4.5,0.5,15.254688,11.813741
0:04:59,4.5,0.5,15.251128,11.810798
0:05:00,4.5,0.5,15.235756,11.810526
0:05:01,4.5,0.5,15.224203,11.810313
0:05:02,4.5,0.5,15.221362,11.811926
0:05:03,4.5,0.5,15.215923,11.813423
0:05:04,4.5,0.5,15.211044,11.814491
0:05:05,4.5,0.5,15.205595,11.815023
0:05:06,4.5,0.5,15.205595,11.814548
0:05:07,4.5,0.5,15.18826,11.816627
0:05:08,4.5,0.5,15.178989,11.821045
0:05:09,4.5,0.5,15.181375,11.826583
0:05:10,4.5,0.5,15.187122,11.827543
0:05:11,4.5,0.5,15.187122,11.819847
0:05:12,4.5,0.5,15.199238,11.811955
0:05:13,4.5,0.5,15.21356,11.811141
0:05:14,4.5,0.5,15.210181,11.808142
0:05:15,4.5,0.5,15.210181,11.798121
0:05:16,4.5,0.5,15.211955,11.786086
0:05:17,4.5,0.5,15.216081,11.783851
0:05:18,4.5,0.5,15.219538,11.782941
0:05:19,4.5,0.5,15.219569,11.784255
0:05:20,4.5,0.5,15.21139,11.790467
0:05:21,4.5,0.5,15.205089,11.787726
0:05:22,4.5,0.5,15.195698,11.784746
0:05:23,4.5,0.5,15.189828,11.786066
0:05:24,4.5,0.5,15.183308,11.786698
0:05:25,4.5,0.5,15.180934,11.781272
0:05:26,4.5,0.5,15.18016,11.778062
0:05:27,4.5,0.5,15.180316,11.769138
0:05:28,4.5,0.5,15.184752,11.762077
0:05:29,4.5,0.5,15.182994,11.758994
0:05:30,4.5,0.5,15.182419,11.764271
0:05:31,4.5,0.5,15.182855,11.79073
0:05:32,4.5,0.5,15.183556,11.798633
0:05:33,4.5,0.5,15.193434,11.779513
0:05:34,4.5,0.5,15.210994,11.773628
0:05:35,4.5,0.5,15.214366,11.773616
0:05:36,4.5,0.5,15.213019,11.774316
0:05:37,4.5,0.5,15.210758,11.774529
0:05:38,4.5,0.5,15.214594,11.777084
0:05:39,4.5,0.5,15.215122,11.778633
0:05:40,4.5,0.5,15.215428,11.776958
0:05:41,4.5,0.5,15.224178,11.776966
0:05:42,4.5,0.5,15.226914,11.778879
0:05:43,4.5,0.5,15.226881,11.781238
0:05:44,4.5,0.5,15.223947,11.785184
0:05:45,4.5,0.5,15.223553,11.783893
0:05:46,4.5,0.5,15.221117,11.784179
0:05:47,4.5,0.5,15.212361,11.783774
0:05:48,4.5,0.5,15.205122,11.78182
0:05:49,4.5,0.5,15.2092,11.777419
0:05:50,4.5,0.5,15.214862,11.765069
0:05:51,4.5,0.5,15.21486,11.756551
0:05:52,4.5,0.5,15.222019,11.748327
0:05:53,4.5,0.5,15.232856,11.729218
0:05:54,4.5,0.5,15.238984,11.719072
0:05:55,4.5,0.5,15.239103,11.718686
0:05:56,4.5,0.5,15.258397,11.71868
0:05:57,4.5,0.5,15.271216,11.718748
0:05:58,4.5,0.5,15.28315,11.721796
0:05:59,4.5,0.5,15.309327,11.729974
0:06:00,4.5,0.5,15.321692,11.731841
0:06:01,4.5,0.5,15.322847,11.740996
0:06:02,4.5,0.5,15.322714,11.750922
0:06:03,4.5,0.5,15.322748,11.759633
0:06:04,4.5,0.5,15.317978,11.765186
0:06:05,4.5,0.5,15.317123,11.765116
0:06:06,4.5,0.5,15.31753,11.764337
0:06:07,4.5,0.5,15.31701,11.765434
0:06:08,4.5,0.5,15.31619,11.771252
0:06:09,4.5,0.5,15.315311,11.788768
0:06:10,4.5,0.5,15.310338,11.810756
0:06:11,4.5,0.5,15.306594,11.81114
0:06:12,4.5,0.5,15.312097,11.811138
0:06:13,4.5,0.5,15.312662,11.811213
0:06:14,4.5,0.5,15.313448,11.811148
0:06:15,4.5,0.5,15.313525,11.811155
0:06:16,4.5,0.5,15.313577,11.811345
0:06:17,4.5,0.5,15.306966,11.812931
0:06:18,4.5,0.5,15.2849,11.812352
0:06:19,4.5,0.5,15.28018,11.809464
0:06:20,4.5,0.5,15.281938,11.809595
0:06:21,4.5,0.5,15.282777,11.834666
0:06:22,4.5,0.5,15.281161,11.852303
0:06:23,4.5,0.5,15.253711,11.851581
0:06:24,4.5,0.5,15.169728,11.850404
0:06:25,4.5,0.5,15.140106,11.850113
0:06:26,4.5,0.5,15.118636,11.849195
0:06:27,4.5,0.5,15.117784,11.847395
0:06:28,4.5,0.5,15.117994,11.842297
0:06:29,4.5,0.5,15.120078,11.834991
0:06:30,4.5,0.5,15.12006,11.833518
0:06:31,4.5,0.5,15.11795,11.832537
0:06:32,4.5,0.5,15.116769,11.831716
